,index,uniqueId,title,price,productDescription,productImage,availability,name,catlevel1Name,catlevel2Name,combined_value
0,0,01705319,slim button-down wrinkle resistant performance dress shirt,59.9,"Our performance dress shirt is easy care, so that you can look sharp with little effort. Wear this shirt from work days to weekends with chinos or jeans.","https://images.express.com/is/image/expressfashion/0020_01705319_0001?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,slim button-down wrinkle resistant performance dress shirt,men,New Arrivals,slim button-down wrinkle resistant performance dress shirt
1,1,07207835C,mid rise medium wash skinny jeans,79.9,"Create your sexiest silhouette with our curve-hugging skinny jean. With an alluring mid rise and a classic wash, your legs never had it so good.","https://images.express.com/is/image/expressfashion/0091_07207835_0019?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",false,mid rise medium wash skinny jeans,women,Clearance  Women,mid rise medium wash skinny jeans
2,2,09725333,stripe duster,69.9,"Add chic style to your layered looks with this supersoft duster, designed with a lightweight drape and fresh stripes.","https://images.express.com/is/image/expressfashion/0087_09725333_0037?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,stripe duster,women,Tops,stripe duster
3,3,07199265,mid rise leopard print jean ankle leggings,88.0,"Fierce and flattering, this stretch-infused jean promises comfort, style and an eye-catching outfit thanks to the bold leopard print. Cut at ankle length with a mid rise fit.","https://images.express.com/is/image/expressfashion/0091_07199265_0578?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,mid rise leopard print jean ankle leggings,women,Jeans,mid rise leopard print jean ankle leggings
4,4,06507065,pleated balloon sleeve thong bodysuit,59.9,We love the looks that you can create with this long sleeve bodysuit. It stays perfectly tucked in under your favorite jeans or a high waisted skirt. Great for versatile styling.,"https://images.express.com/is/image/expressfashion/0086_06507065_0935?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,pleated balloon sleeve thong bodysuit,women,Tops,pleated balloon sleeve thong bodysuit
5,5,04372520,extra slim light gray luxe comfort knit suit jacket,228.0,"Tailored for an extra slim fit and sharp look, this wrinkle-resistant jacket keeps its shape all-night long with just the amount of stretch. Pair with one of our dress shirts and the matching pant for your next big meeting or event.","https://images.express.com/is/image/expressfashion/0039_04372520_2241?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,extra slim light gray luxe comfort knit suit jacket,men,New Arrivals,extra slim light gray luxe comfort knit suit jacket
6,6,80002557,emory park floral print cut-out back mini dress,59.9,"This floral print mini dress is perfect for all your weekend plans, featuring a ruffle hem and cut-out back. Pair with open toe heels.","https://images.express.com/is/image/expressfashion/0394_80002557_3019?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,emory park floral print cut-out back mini dress,women,Labels We Love ,emory park floral print cut-out back mini dress
7,7,00310138,steve madden malibu genuine hair pumps,111.95,Leopard spotted pony hair puts a fun feline twist on the super-sexy Malibu pump from featured brand Steve Madden. A partially transparent upper lends this stiletto a modern element while revealing just the right amount of skin.,"https://images.express.com/is/image/expressfashion/0095_00310138_0578?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,steve madden malibu genuine hair pumps,women,Labels We Love ,steve madden malibu genuine hair pumps
8,8,80002556,melissa black pointy iii flat,85.0,The Melissa Pointy III features a resin buckle with bow detailing and a pointed toe.,"https://images.express.com/is/image/expressfashion/0395_80002556_3000?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,melissa black pointy iii flat,women,Labels We Love ,melissa black pointy iii flat
9,9,80002558,breda sky blue jane watch,67.5,"Inspired by days spent in the sun by the water and followed by evenings of indulgence. The Jane carries a delicate 23mm oval case, sky blue mother of pearl dial and gold-plated stainless steel bracelet that fastens with a jewelry clasp.","https://images.express.com/is/image/expressfashion/0308_80002558_3043?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,breda sky blue jane watch,women,Labels We Love ,breda sky blue jane watch
10,10,80002429,vintage foundry riley sneakers,99.0,"The Riley consciously makes an effort to conquer the public with its heritage style and nomadic suit. Built to last and designed with minimal construction, its structure is made for a man ready to make a move.","https://images.express.com/is/image/expressfashion/0341_80002429_3002?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,vintage foundry riley sneakers,men,Labels We Love,vintage foundry riley sneakers
11,11,00768912,set of six cubic zirconia post back earrings,39.9,"With a range of designs and tons of glam, this set of cubic zirconia post back earrings gives you endless options for your work week and Saturday outfits.","https://images.express.com/is/image/expressfashion/0008_00768912_0408?cache=on&wid=361&fmt=jpeg&qlt=75,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",true,set of six cubic zirconia post back earrings,women,Jewelry,set of six cubic zirconia post back earrings
